Estacao,Data,Hora,Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media
83767,15/02/00,0,,27.7,,0.9,1.2,22.5,93.5,0.666667
83767,15/02/00,1200,13.4,,20.4,,,,,
83767,16/02/00,0,,25.7,,0.9,0.7,21.18,92.75,1
83767,16/02/00,1200,8.4,,19.3,,,,,
83767,17/02/00,0,,22.5,,1.6,0.9,19.88,85.75,1
83767,17/02/00,1200,7.7,,17.2,,,,,
83767,18/02/00,0,,27.4,,11.9,2.1,21.64,66.75,1.333333
83767,18/02/00,1200,2,,15.4,,,,,
83767,19/02/00,0,,29.2,,9.7,5.4,23.38,64.75,1
83767,19/02/00,1200,0,,16.6,,,,,
83767,20/02/00,0,,30,,10.3,5,24.66,70,1
83767,20/02/00,1200,0,,18.2,,,,,
83767,21/02/00,0,,29.8,,4.1,4.8,22.46,81,1
83767,21/02/00,1200,2.5,,19.6,,,,,
83767,22/02/00,0,,28.1,,4,2.8,22.74,85.5,1
83767,22/02/00,1200,66.2,,19.1,,,,,
83767,23/02/00,0,,30.9,,9.6,1.7,25.32,75.75,0.666667
83767,23/02/00,1200,3,,20.2,,,,,
83767,24/02/00,0,,31.8,,10.2,2.9,26.14,73.25,0.333333
83767,24/02/00,1200,0,,21.3,,,,,
83767,25/02/00,0,,32.9,,10.8,3.9,27.36,66.25,1.333333
83767,25/02/00,1200,0,,22,,,,,
83767,26/02/00,0,,32.6,,9.5,4.7,27.78,66.75,0.666667
83767,26/02/00,1200,0,,23.6,,,,,
83767,27/02/00,0,,31.7,,5.3,5.1,25.82,70.25,1
83767,27/02/00,1200,0,,23.1,,,,,
83767,28/02/00,0,,29.4,,4.6,4.5,25.02,75,0.666667
83767,28/02/00,1200,0,,21.2,,,,,
83767,29/02/00,0,,28.7,,5.5,3.1,24.62,84.25,1
83767,29/02/00,1200,0,,20.8,,,,,
83767,01/03/00,0,,29.5,,3.6,2.4,24.94,77.5,1
83767,01/03/00,1200,0.3,,22.4,,,,,
83767,02/03/00,0,,30.4,,9.4,3.5,25.06,77.5,1.666667
83767,02/03/00,1200,5.1,,21,,,,,
83767,03/03/00,0,,30.5,,7.8,4.7,24.96,74.25,1.666667
83767,03/03/00,1200,0,,21.8,,,,,
83767,04/03/00,0,,27.4,,1.6,3.9,24.1,89.25,0.333333
83767,04/03/00,1200,12.9,,21.4,,,,,
83767,05/03/00,0,,28.2,,2.3,1.8,23.6,93,0.333333
83767,05/03/00,1200,1,,20.6,,,,,
83767,06/03/00,0,,30.3,,5.4,1.3,25.36,78.5,1
83767,06/03/00,1200,15.2,,20.9,,,,,
83767,07/03/00,0,,28.6,,6.5,2.4,24.14,92.5,0.666667
83767,07/03/00,1200,0,,22.2,,,,,
83767,08/03/00,0,,27.5,,9.9,2.5,22.96,68.25,1.333333
83767,08/03/00,1200,8.8,,18.2,,,,,
83767,09/03/00,0,,28.4,,10.6,5.2,22.52,61,0.666667
83767,09/03/00,1200,0,,16.4,,,,,
83767,10/03/00,0,,28.4,,4.9,6.2,23.38,70.25,0.666667
83767,10/03/00,1200,0,,18.5,,,,,
83767,11/03/00,0,,28.8,,6.6,4.4,23.36,73,0.666667
83767,11/03/00,1200,0,,19.5,,,,,
83767,12/03/00,0,,28.7,,6.6,2.8,22.36,87.25,0.666667
83767,12/03/00,1200,0,,19.6,,,,,
83767,13/03/00,0,,29.2,,9.2,3.2,23.68,66.75,0.666667
